                     Ubicación                    |    Fecha   |   Hora   |           Actividad
                     Guatemala                    | 23-03-2025 | 17:37:23 |  Inicializando el árbol binario.
                     Guatemala                    | 23-03-2025 | 17:37:24 |  Inicializando el árbol binario.
                     Guatemala                    | 23-03-2025 | 17:37:24 |  Iniciando el programa.
                     Guatemala                    | 23-03-2025 | 17:37:46 |  Eligiendo arhcivo .txt a evaluar.
                     Guatemala                    | 23-03-2025 | 17:37:51 |  Leyendo y almacenando el contenido del txt.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Botón iniciar presionado.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Leyendo el contenido ingresado.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Inicializando el árbol binario.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Iniciando la operación.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Iniciando búsqueda booleana de un valor en árbol binario.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Verificando la existencia del valor 5 dentro del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Evaluando si es necesario sobreescribir la búsqueda.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Sobreescribiendo la búsqueda.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Iniciando búsqueda recursiva.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Valor nulo, búsqueda cancelada.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Inicio de una inserción de dato normal en árbol binario.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Dato agregado en árbol binario.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Se esta evaluando agregar el valor 5 al árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Se inicia una insserción balanceada de un nuevo valor.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  El nodo no existe.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Sobreescribiendo la inserción para evitar el equilibrado.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Iniciando inserción no balanceada.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Verificando si el árbol binario esta vacío.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Se ha detectado que el árbol esta vacío.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo el panel mostrador.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Se ha detectado que el árbol esta vacío.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo el panel mostrador.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando posiciones.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando tamaño del surbárbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando posición.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo dato.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando posición.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando posición.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Dibujando árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo dato.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Dibujando árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Dibujando árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando posiciones.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando tamaño del surbárbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando posición.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo dato.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando posición.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Calculando posición.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Dibujando árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo dato.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Dibujando árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Dibujando árbol.
                     Guatemala                    | 23-03-2025 | 17:37:56 |  Obteniendo la raíz del árbol.
